"t","o","h","l","c","v"
1568716200,65.7,65.7,65.7,65.7,0
1568718000,65.7,65.7,65.7,65.7,0
1568719800,65.7,65.7,65.7,65.7,0
1568721600,65.7,65.74,65.7,65.7,134.41
1568723400,65.7,65.7,64.46,64.46,20.12
1568725200,64.46,64.48,64.46,64.48,17.5
1568727000,64.48,64.49,64.48,64.49,19.02
1568728800,64.49,64.49,64.49,64.49,0
1568730600,64.49,64.49,64.49,64.49,0
1568732400,64.49,65.69,64.49,65.69,47.48
1568734200,65.69,65.69,64.49,64.49,84.5
1568736000,64.49,65.67,64.3,64.3,216.34
1568737800,64.3,64.3,64.3,64.3,0
1568739600,64.3,64.49,63.8,63.8,183.89
1568741400,63.8,63.8,63.8,63.8,0
1568743200,63.8,63.8,63.8,63.8,0
1568745000,63.8,63.8,63.8,63.8,0
1568746800,63.8,63.8,63.8,63.8,0
1568748600,63.8,63.8,63.8,63.8,0
1568750400,63.8,63.8,63.8,63.8,0
1568752200,63.8,63.8,63.8,63.8,0
1568754000,63.8,63.8,63.2,63.2,40.48
1568755800,63.2,63.2,63.2,63.2,0
1568757600,63.2,63.2,63.2,63.2,0
1568759400,63.2,63.2,63.2,63.2,0
1568761200,63.2,63.2,63.2,63.2,0
1568763000,63.2,63.2,63.2,63.2,0
1568764800,63.2,63.2,63.2,63.2,0
1568766600,63.2,63.2,63.2,63.2,0
1568768400,63.2,63.2,63.2,63.2,0
1568770200,63.2,63.2,63.2,63.2,0
1568772000,63.2,63.2,63.19,63.19,61.0
1568773800,63.19,63.8,63.19,63.8,19.0
1568775600,63.8,63.8,63.8,63.8,35.44
1568777400,63.8,65.55,63.8,65.55,83.7
1568779200,65.55,65.55,65.55,65.55,0
1568781000,65.55,65.55,65.39,65.4,134.02
1568782800,65.4,65.4,65.4,65.4,0
1568784600,65.4,65.4,65.4,65.4,0
1568786400,65.4,65.4,65.4,65.4,0
1568788200,65.4,65.4,64.0,64.0,10.48
1568790000,64.0,64.0,64.0,64.0,0
1568791800,64.0,64.0,64.0,64.0,11.08
1568793600,64.0,64.0,64.0,64.0,0
1568795400,64.0,64.0,64.0,64.0,0
1568797200,64.0,64.0,64.0,64.0,0
1568799000,64.0,64.0,64.0,64.0,0
1568800800,64.0,64.0,64.0,64.0,0
1568802600,64.0,64.0,64.0,64.0,0
1568804400,64.0,64.0,64.0,64.0,0
1568806200,64.0,64.0,64.0,64.0,0
1568808000,64.0,64.0,64.0,64.0,0
1568809800,64.0,64.0,64.0,64.0,0
1568811600,64.0,64.0,64.0,64.0,0
1568813400,64.0,64.0,63.8,63.8,5.24
1568815200,63.8,63.8,62.08,62.08,83.6
1568817000,62.08,63.99,62.08,63.99,27.98
1568818800,63.99,63.99,63.99,63.99,0
1568820600,63.99,63.99,63.99,63.99,0
1568822400,63.99,63.99,63.99,63.99,0
1568824200,63.99,63.99,63.99,63.99,0
1568826000,63.99,63.99,63.99,63.99,0
1568827800,63.99,63.99,63.99,63.99,0
1568829600,63.99,63.99,63.99,63.99,0
1568831400,63.99,63.99,63.93,63.93,13.84
1568833200,63.93,63.93,63.93,63.93,0
1568835000,63.93,63.93,63.93,63.93,0
1568836800,63.93,63.93,63.93,63.93,0
1568838600,63.93,63.93,63.93,63.93,8.05
1568840400,63.93,63.93,63.93,63.93,0
1568842200,63.93,63.93,63.93,63.93,0
1568844000,63.93,63.93,63.93,63.93,0
1568845800,63.93,63.93,63.93,63.93,0
1568847600,63.93,63.93,63.93,63.93,0
1568849400,63.93,63.93,63.93,63.93,0
1568851200,63.93,63.93,63.93,63.93,0
1568853000,63.93,64.0,63.93,64.0,18.71
1568854800,64.0,64.0,64.0,64.0,0
1568856600,64.0,64.0,64.0,64.0,0
1568858400,64.0,64.0,64.0,64.0,0
1568860200,64.0,64.0,64.0,64.0,0
1568862000,64.0,64.0,64.0,64.0,0
1568863800,64.0,64.0,64.0,64.0,0
1568865600,64.0,64.0,64.0,64.0,0
1568867400,64.0,64.0,64.0,64.0,0
1568869200,64.0,64.0,64.0,64.0,0
1568871000,64.0,64.0,64.0,64.0,0
1568872800,64.0,64.0,64.0,64.0,0
1568874600,64.0,64.0,64.0,64.0,0
1568876400,64.0,64.0,64.0,64.0,0
1568878200,64.0,64.0,64.0,64.0,0
1568880000,64.0,64.0,64.0,64.0,0
1568881800,64.0,64.0,64.0,64.0,0
1568883600,64.0,64.0,62.1,62.1,5.01
1568885400,62.1,63.93,62.1,63.93,87.94
1568887200,63.93,63.93,63.93,63.93,0
1568889000,63.93,63.93,63.93,63.93,0
1568890800,63.93,63.93,63.93,63.93,0
1568892600,63.93,63.93,63.93,63.93,0
1568894400,63.93,63.93,63.93,63.93,0
1568896200,63.93,63.93,63.93,63.93,0
1568898000,63.93,63.93,63.93,63.93,0
1568899800,63.93,63.93,63.93,63.93,0
1568901600,63.93,63.93,63.93,63.93,0
1568903400,63.93,63.93,63.93,63.93,0
1568905200,63.93,63.93,63.85,63.85,32.1
1568907000,63.85,63.85,63.85,63.85,0
1568908800,63.85,63.85,63.85,63.85,0
1568910600,63.85,63.85,63.85,63.85,0
1568912400,63.85,63.85,63.85,63.85,0
1568914200,63.85,63.85,63.85,63.85,0
1568916000,63.85,63.85,63.85,63.85,0
1568917800,63.85,63.85,63.85,63.85,0
1568919600,63.85,63.85,63.85,63.85,0
1568921400,63.85,63.85,63.85,63.85,0
1568923200,63.85,63.85,63.85,63.85,0
1568925000,63.85,63.85,63.85,63.85,0
1568926800,63.85,63.85,63.85,63.85,0
1568928600,63.85,63.85,63.85,63.85,0
1568930400,63.85,63.85,63.85,63.85,0
1568932200,63.85,63.85,63.85,63.85,0
1568934000,63.85,63.85,63.85,63.85,0
1568935800,63.85,63.85,63.85,63.85,0
1568937600,63.85,63.85,63.85,63.85,0
1568939400,63.85,63.85,63.85,63.85,0
1568941200,63.85,63.85,63.85,63.85,0
1568943000,63.85,63.85,63.85,63.85,0
1568944800,63.85,63.85,63.85,63.85,0
1568946600,63.85,63.85,63.85,63.85,0
1568948400,63.85,63.85,63.85,63.85,0
1568950200,63.85,63.85,63.85,63.85,0
1568952000,63.85,63.85,63.85,63.85,0
1568953800,63.85,63.85,63.85,63.85,0
1568955600,63.85,63.85,62.14,62.14,10.0
1568957400,62.14,62.14,62.14,62.14,116.84
1568959200,62.14,62.14,62.13,62.13,58.34
1568961000,62.13,62.13,62.13,62.13,0
1568962800,62.13,62.13,62.13,62.13,0
1568964600,62.13,62.13,62.13,62.13,0
1568966400,62.13,62.13,62.13,62.13,0
1568968200,62.13,62.13,62.13,62.13,0
1568970000,62.13,62.13,62.13,62.13,0
1568971800,62.13,62.13,62.13,62.13,0
1568973600,62.13,62.2,62.13,62.2,7.58
1568975400,62.2,63.82,62.2,63.82,7.36
1568977200,63.82,63.82,63.82,63.82,0
1568979000,63.82,63.82,63.82,63.82,0
1568980800,63.82,63.82,63.82,63.82,0
1568982600,63.82,63.82,63.82,63.82,0
1568984400,63.82,63.82,63.82,63.82,0
1568986200,63.82,63.82,63.82,63.82,0
1568988000,63.82,63.82,63.82,63.82,0
1568989800,63.82,63.82,63.82,63.82,0
1568991600,63.82,63.82,63.74,63.74,31.32
1568993400,63.74,63.74,63.74,63.74,0
1568995200,63.74,63.74,63.74,63.74,0
1568997000,63.74,63.74,63.74,63.74,0
1568998800,63.74,63.74,62.23,62.23,6.59
1569000600,62.23,62.23,62.23,62.23,0
1569002400,62.23,62.23,62.23,62.23,0
1569004200,62.23,63.71,62.23,63.71,14.44
1569006000,63.71,63.71,63.71,63.71,41.25
1569007800,63.71,63.71,63.71,63.71,0
1569009600,63.71,63.71,63.71,63.71,0
1569011400,63.71,63.71,63.71,63.71,0
1569013200,63.71,63.71,63.71,63.71,0
1569015000,63.71,63.71,63.71,63.71,0
1569016800,63.71,63.71,63.71,63.71,0
1569018600,63.71,63.71,63.71,63.71,0
1569020400,63.71,63.71,63.71,63.71,0
1569022200,63.71,63.71,63.71,63.71,0
1569024000,63.71,63.71,63.71,63.71,0
1569025800,63.71,63.71,63.71,63.71,0
1569027600,63.71,63.71,63.71,63.71,0
1569029400,63.71,63.71,63.71,63.71,0
1569031200,63.71,63.71,63.71,63.71,0
1569033000,63.71,63.71,63.71,63.71,0
1569034800,63.71,63.71,63.71,63.71,0
1569036600,63.71,63.71,63.71,63.71,0
1569038400,63.71,63.71,63.71,63.71,0
1569040200,63.71,63.71,63.71,63.71,0
1569042000,63.71,63.71,63.71,63.71,0
1569043800,63.71,63.71,63.71,63.71,0
1569045600,63.71,63.71,63.71,63.71,15.0
1569047400,63.71,63.71,63.71,63.71,0
1569049200,63.71,63.71,63.71,63.71,0
1569051000,63.71,63.71,63.71,63.71,0
1569052800,63.71,63.71,62.37,63.65,58.31
1569054600,63.65,63.65,63.65,63.65,0
1569056400,63.65,63.65,63.65,63.65,0
1569058200,63.65,63.65,63.65,63.65,0
1569060000,63.65,63.65,63.65,63.65,0
1569061800,63.65,63.65,63.65,63.65,0
1569063600,63.65,63.65,63.65,63.65,0
1569065400,63.65,63.65,63.65,63.65,0
1569067200,63.65,63.65,63.65,63.65,0
1569069000,63.65,63.65,63.65,63.65,0
1569070800,63.65,63.65,63.65,63.65,0
1569072600,63.63,63.63,63.63,63.63,6.0
1569074400,63.63,63.63,63.63,63.63,0
1569076200,63.63,63.63,63.63,63.63,0
1569078000,63.63,63.63,63.63,63.63,0
1569079800,63.63,63.63,63.63,63.63,0
1569081600,63.63,63.63,63.63,63.63,0
1569083400,63.63,63.63,63.63,63.63,0
1569085200,63.63,63.63,63.63,63.63,0
1569087000,63.63,63.63,63.63,63.63,0
1569088800,63.63,63.63,63.63,63.63,0
1569090600,63.63,63.63,63.63,63.63,20.35
1569092400,63.63,63.63,63.63,63.63,0
1569094200,63.63,63.63,63.63,63.63,0
1569096000,63.63,63.63,63.63,63.63,0
1569097800,63.63,63.63,63.63,63.63,0
1569099600,63.63,63.63,63.63,63.63,0
1569101400,63.63,63.63,63.63,63.63,0
1569103200,63.63,63.63,63.63,63.63,0
1569105000,63.63,63.63,63.63,63.63,0
1569106800,63.63,63.63,63.63,63.63,0
1569108600,63.63,63.63,63.63,63.63,0
1569110400,63.63,63.63,63.63,63.63,0
1569112200,63.63,63.63,63.63,63.63,0
1569114000,63.63,63.63,63.63,63.63,0
1569115800,63.63,63.63,63.63,63.63,0
1569117600,63.63,63.63,63.63,63.63,0
1569119400,63.63,63.63,63.63,63.63,0
1569121200,63.63,63.63,63.63,63.63,0
1569123000,63.63,63.63,63.63,63.63,0
1569124800,63.63,63.63,63.63,63.63,0
1569126600,63.63,63.63,63.63,63.63,0
1569128400,63.63,63.63,63.62,63.62,11.0
1569130200,63.62,63.62,63.62,63.62,0
1569132000,63.62,63.62,63.0,63.0,5.04
1569133800,63.0,63.0,63.0,63.0,0
1569135600,63.0,63.0,63.0,63.0,0
1569137400,63.0,63.0,63.0,63.0,0
1569139200,63.0,63.0,63.0,63.0,29.56
1569141000,63.0,63.0,63.0,63.0,0
1569142800,63.0,63.0,63.0,63.0,0
1569144600,63.0,63.0,63.0,63.0,0
1569146400,63.0,63.0,63.0,63.0,0
1569148200,63.0,63.0,63.0,63.0,15.74
1569150000,63.63,63.63,63.0,63.62,31.43
1569151800,63.62,63.62,63.62,63.62,0
1569153600,63.62,63.62,63.62,63.62,0
1569155400,63.62,63.62,63.62,63.62,0
1569157200,63.62,63.62,63.62,63.62,0
1569159000,63.62,63.62,63.62,63.62,157.4
1569160800,63.62,63.62,63.62,63.62,2.6
1569162600,63.62,63.62,63.0,63.0,56.86
1569164400,63.0,63.0,63.0,63.0,0
1569166200,63.0,63.0,63.0,63.0,0
1569168000,63.0,63.0,63.0,63.0,0
1569169800,63.0,63.65,63.0,63.65,5.67
1569171600,63.65,63.65,63.65,63.65,0
1569173400,63.65,63.65,63.65,63.65,0
1569175200,63.65,63.65,63.65,63.65,0
1569177000,63.65,63.65,63.65,63.65,0
1569178800,63.65,63.65,63.65,63.65,0
1569180600,63.65,63.65,63.65,63.65,0
1569182400,63.65,63.65,63.0,63.0,6.24
1569184200,63.0,63.0,63.0,63.0,0
1569186000,63.0,63.0,63.0,63.0,0
1569187800,63.0,63.0,63.0,63.0,0
1569189600,63.0,63.0,63.0,63.0,0
1569191400,63.0,63.0,63.0,63.0,0
1569193200,63.0,63.0,63.0,63.0,0
1569195000,63.0,63.0,63.0,63.0,0
1569196800,63.0,63.0,63.0,63.0,0
1569198600,63.0,63.0,63.0,63.0,0
1569200400,63.0,63.0,63.0,63.0,0
1569202200,63.0,63.0,63.0,63.0,0
1569204000,63.0,63.0,63.0,63.0,0
1569205800,63.0,63.0,63.0,63.0,0
1569207600,63.0,63.0,63.0,63.0,0
1569209400,63.0,63.0,63.0,63.0,0
1569211200,63.0,63.0,63.0,63.0,0
1569213000,63.0,63.0,63.0,63.0,0
1569214800,63.0,63.0,63.0,63.0,0
1569216600,63.0,63.0,63.0,63.0,0
1569218400,63.0,63.0,63.0,63.0,0
1569220200,63.0,63.0,63.0,63.0,0
1569222000,63.0,63.0,63.0,63.0,0
1569223800,63.0,63.0,63.0,63.0,0
1569225600,63.0,63.0,63.0,63.0,0
1569227400,63.0,63.0,63.0,63.0,0
1569229200,63.0,63.0,63.0,63.0,0
1569231000,63.0,63.0,63.0,63.0,0
1569232800,63.0,63.0,63.0,63.0,0
1569234600,63.0,63.0,63.0,63.0,0
1569236400,63.0,63.0,63.0,63.0,0
1569238200,63.0,63.0,63.0,63.0,0
1569240000,63.0,63.0,63.0,63.0,0
1569241800,63.0,63.0,63.0,63.0,0
1569243600,63.0,63.0,63.0,63.0,0
